Feature ID	C01	C02	C03	C04	C05	C06	C07	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	P01	P02	P03	P04	P05	P06	P07	P08	P09	P10	U01	U02	U03	U04	U05	U06	U07	V01	V02
f_Enterobacteriaceae	36	9	6	156	307	2968	3194	259	4	640	13849	8771	7154	23	2	3118	6322	3	634	1818	10288	5	10065	1658	5801	90	5477	151	9253	77168	10	41	267	1169	51	4
f_Enterococcaceae	3	17536	9844	36349	5609	3	96	387	2	1	2	7170	19	44	1	4	49	0	306	70	2764	2	5820	8	1509	109	7	4471	38	6	4272	3	105	11	10	268
f_Erysipelotrichaceae	4756	2364	21561	2385	5	1222	2711	20494	9711	18266	9576	5168	4568	8374	1891	6880	2317	12340	17938	6045	12597	6502	15228	1657	8868	1129	5931	14396	8032	13316	11556	517	2082	8885	1748	156
f_Eubacteriaceae	4	0	2	0	0	0	12	24	21	20	57	0	62	0	2	0	53	4	4	69	3	200	4	199	7	13	86	1	0	0	15	21	1	0	18	0
f_Flavobacteriaceae	1	3	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	2	0	0	0	1	0
f_Fusobacteriaceae	0	0	0	0	0	3	152	0	942	0	0	5	0	0	0	0	0	0	0	48	1	0	1	0	0	0	834	0	0	0	0	0	0	0	0	0
f_Gracilibacteraceae	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	6	1	0	0	0	0	0	0	0	0	0	0	0	23	0
f_Heliobacteriaceae	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	3	1	0	0	0	0	0	0	0	0	6	0
f_Hyphomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Iamiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Ignavibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Intrasporangiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Lachnospiraceae	2979	26442	13112	9726	4	2796	3718	6156	11804	9233	5247	14196	13949	12792	10433	4448	4305	14543	5118	5477	6912	15076	7557	7929	8280	2174	4850	37843	11177	32	26950	3238	1858	2862	3366	5319
f_Lactobacillaceae	1	16	798	1	0	0	12	1	2	5	60	3420	5	0	8	3	3	4	0	1241	539	3	12	0	9	2	8	171	1616	4257	1	144	4	1	4	3
f_Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
f_Leuconostocaceae	0	0	0	0	0	0	3	0	0	0	2	8	1	0	0	2	0	1	0	2	4	0	1	4	0	0	1	0	0	0	0	0	0	0	1	1
f_Listeriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Methanobacteriaceae	0	0	0	0	0	0	0	0	186	0	1006	0	0	1	0	0	1	1	0	731	0	716	1	82	1006	3	0	0	0	0	0	0	0	0	222	0
f_Microbacteriaceae	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0
f_Micrococcaceae	0	0	72	0	0	0	0	0	0	2	2	1	0	1	1	1	0	1	0	3	3	1	1	0	0	0	2	3	4	1	1	0	0	0	1	0
f_Moraxellaceae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
f_Mycoplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Natranaerovirga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Neisseriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Nitrospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
f_Nocardioidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Oligosphaeraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Opitutaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Oxalobacteraceae	0	0	0	0	0	0	0	0	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0	0	0	0	3	0
f_Paenibacillaceae 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0
f_Pasteurellaceae	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0
f_Peptococcaceae 1	11	0	0	0	0	0	0	0	0	0	874	1	0	1	0	0	0	1	2	0	107	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
f_Peptoniphilaceae	0	0	0	14	0	6	0	0	14	1	19	0	2	16	1	1	42	14	0	2	0	3	2	1	1	0	14	7	4	0	0	1	2	3	0	0
f_Peptostreptococcaceae	276	352	8139	0	2	43	56	12	21	61	2330	75	169	6	115	419	18	229	56	1042	1432	279	1597	409	1452	0	1125	6653	61	0	1250	15	62	180	33	26
f_Phyllobacteriaceae	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
f_Planococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Porphyromonadaceae	6	23	6	35	0	0	510	183	6233	86	2659	97	253	9	133	261	36	1718	1485	903	0	418	306	877	2270	195	21	1581	445	0	2	3	0	332	339	20
f_Prevotellaceae	104	0	0	0	0	0	0	0	81	4	15	39	0	0	1	0	0	1	0	34	0	0	9	0	8	6	0	11	0	0	0	98	0	0	38	0
f_Pseudomonadaceae	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
f_Pseudonocardiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Puniceicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_Rhizobiaceae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
